Brand,Model,Fuel Type,Fuel Consumption,Engine volume (L),Power (PS),Torque (N*m),0-100 km/h (s),Max speed (km/h),Length (mm),Width (mm),Height (mm),Weight (kg)
Jaguar,2.1 i V6 24V (156 Hp),Petrol (Gasoline),12.7,2.099,156,196,9.4,210,4672,1789,1430,1450
Jaguar,2.2 D (155 Hp),Diesel,8.3,2.198,155,360,8.9,220,4672,1789,1430,1502
Jaguar,2.5 i V6 24V (196 Hp) Automatic,Petrol (Gasoline),15.0,2.495,196,241,8.9,220,4672,1789,1430,1570
Jaguar,3.0 i V6 24V (231 Hp),Petrol (Gasoline),14.8,2.968,231,279,7.0,235,4672,1789,1430,1570
Jaguar,2.0 TDi (130 Hp),Diesel,7.8,1.998,130,330,10.2,198,4716,1789,1483,1575
Jaguar,2.1 i V6 (156 Hp) Sport,Petrol (Gasoline),12.9,2.099,156,196,9.6,207,4716,1789,1483,1515
Jaguar,2.2 D (155 Hp),Diesel,8.4,2.198,155,360,9.3,215,4716,1789,1483,1575
Jaguar,2.5 i V6 24V Sport (196 Hp),Petrol (Gasoline),13.8,2.495,196,241,8.5,222,4716,1789,1483,1610
Jaguar,3.0 i V6 24V Sport (231 Hp),Petrol (Gasoline),14.9,2.968,231,279,7.2,232,4716,1789,1483,1610
Jaguar,2.7D V6 32V (207 Hp) Automatic,Diesel,10.8,2.722,207,435,8.2,222,5090,1860,1448,1657
Jaguar,3.0 V6 24V (238 Hp) Automatic,Petrol (Gasoline),15.3,2.967,238,293,8.1,233,5090,1860,1448,1545
Jaguar,3.5 V8 32V (258 Hp) Automatic,Petrol (Gasoline),15.9,3.555,258,335,7.6,242,5090,1860,1448,1615
Jaguar,4.2 V8 32V (300 Hp) Automatic,Petrol (Gasoline),16.0,4.196,300,411,6.6,250,5090,1860,1448,1615
Jaguar,4.2 V8 32V (400 Hp) Automatic,Petrol (Gasoline),18.6,4.196,400,541,5.3,250,5090,1860,1448,1665
Jaguar,4.2 V8 32V L (298 Hp) Automatic,Petrol (Gasoline),16.0,4.196,298,411,6.6,250,5215,1860,1448,1640
Jaguar,4.2 V8 32V L Super (400 Hp) Automatic,Petrol (Gasoline),18.6,4.196,400,541,5.3,250,5215,1860,1448,1690
Jaguar,3.2 V8 32V (237 Hp) Automatic,Petrol (Gasoline),17.1,3.248,237,310,8.5,225,5023,1799,1345,1780
Jaguar,4.0 V8 32V (284 Hp) Automatic,Petrol (Gasoline),17.2,3.996,284,375,7.3,240,5023,1799,1345,1780
Jaguar,4.0 V8 32V Sovereign LBW (284 Hp) Automatic,Petrol (Gasoline),17.2,3.996,284,375,7.3,240,5149,1799,1333,1730
Jaguar,R 4.0 V8 32V (363 Hp) Automatic,Petrol (Gasoline),18.0,3.996,363,505,5.6,250,5023,1799,1345,1845
Jaguar,4.0 (226 Hp),Petrol (Gasoline),16.7,3.98,226,377,7.5,227,4820,1793,1254,1700
Jaguar,5.3 (284 Hp),Petrol (Gasoline),19.9,5.343,284,415,8.2,237,4820,1793,1254,1825
Jaguar,6.0 (318 Hp),Petrol (Gasoline),21.9,5.994,318,463,7.4,245,4820,1793,1279,1825
Jaguar,4.2 V8 (298 Hp) Automatic,Petrol (Gasoline),16.8,4.196,298,411,6.6,250,4760,1829,1306,1775
Jaguar,R 4.2 V8 (395 Hp) Automatic,Petrol (Gasoline),18.1,4.196,395,541,5.6,250,4760,1829,1306,1815
Jaguar,4.0 V8 (284 Hp) Automatic,Petrol (Gasoline),17.2,3.998,284,375,6.7,250,4760,1829,1306,1780
Jaguar,R 4.0 V8 (363 Hp) Automatic,Petrol (Gasoline),18.0,3.996,363,505,5.6,250,4760,1829,1306,1825
Jaguar,4.2 V8 (298 Hp) Automatic,Petrol (Gasoline),16.7,4.196,298,411,6.4,250,4760,1829,1296,1685
Jaguar,R 4.2 V8 (395 Hp) Automatic,Petrol (Gasoline),18.0,4.196,395,541,5.4,250,4760,1829,1296,1735
Jaguar,4.0 V8 (284 Hp) Automatic,Petrol (Gasoline),17.2,3.996,284,375,6.7,250,4760,1829,1306,1780
Jaguar,R 4.0 V8 (363 Hp) Automatic,Petrol (Gasoline),18.0,3.996,363,505,5.4,250,4760,1829,1296,1715
Jaguar,2.5 i V6 24V (200 Hp),Petrol (Gasoline),13.3,2.497,200,245,8.6,228,4861,1819,1441,1620
Jaguar,2.7 D (207 Hp),Diesel,9.7,2.72,207,435,8.5,230,4861,1819,1441,1722
Jaguar,3.0 i V6 24V (238 Hp),Petrol (Gasoline),16.5,2.967,238,293,7.6,233,4861,1819,1441,1705
Jaguar,4.0 i V8 32V (276 Hp),Petrol (Gasoline),16.0,3.996,276,378,7.1,242,4861,1819,1441,1795
Jaguar,4.2 i V8 32V (298 Hp),Petrol (Gasoline),17.6,4.196,298,411,6.5,250,4861,1819,1441,1750
Jaguar,4.2 i V8 32V Type R (395 Hp),Petrol (Gasoline),18.5,4.196,395,541,5.6,250,4861,1819,1441,1800
Jaguar,2.7D (207 Hp),Diesel,10.4,2.72,207,435,8.2,229,4961,1877,1460,1771
Jaguar,3.0 V6 (238 Hp),Petrol (Gasoline),15.8,2.967,238,293,8.3,237,4961,1877,1460,1679
Jaguar,4.2 V8 (298 Hp),Petrol (Gasoline),17.3,4.196,298,411,6.5,250,4961,1877,1460,1749
Jaguar,4.2 V8 (416 Hp),Petrol (Gasoline),18.7,4.196,416,560,5.4,250,4961,1877,1460,1842
Jaguar,5.0 V8 (385 Hp),Petrol (Gasoline),17.3,5.0,385,515,5.7,250,4961,1877,1460,1780
Jaguar,R 5.0 V8 (510 Hp) Automatic,Petrol (Gasoline),18.7,5.0,510,625,4.9,250,4961,1877,1460,1891
Jaguar,R 4.0 V8 32V (363 Hp) Automatic,Petrol (Gasoline),18.0,3.996,363,505,5.6,250,5023,1799,1345,1845
Jaguar,4.2 V8 32V (400 Hp) Automatic,Petrol (Gasoline),18.6,4.196,400,541,5.3,250,5090,1860,1448,1665
Jaguar,4.0 (226 Hp),Petrol (Gasoline),16.7,3.98,226,377,8.2,225,4820,1793,1279,1760
Jaguar,5.3 (284 Hp),Petrol (Gasoline),20.6,5.343,284,415,8.1,230,4820,1793,1279,1920
Jaguar,6.0 (318 Hp),Petrol (Gasoline),21.9,5.994,318,463,7.4,250,4820,1793,1279,1920
Jaguar,R 4.0 V8 (363 Hp) Automatic,Petrol (Gasoline),18.0,3.996,363,505,5.4,250,4760,1829,1296,1715
Jaguar,R 4.2 V8 (395 Hp) Automatic,Petrol (Gasoline),18.0,4.196,395,541,5.4,250,4760,1829,1296,1735
Nissan,1.6 (90 Hp),Petrol (Gasoline),7.2,1.597,90,136,10.7,185,4135,1680,1315,1067
Nissan,3.0 Di 16V (158 Hp),Diesel,14.3,2.953,158,323,15.0,160,4395,1840,1840,2275
Nissan,3.0 Di 16V (5 dr) (158 Hp),Diesel,14.3,2.953,158,323,15.4,160,4965,1840,1855,2410
Nissan,4.8 i 24V (5 dr) (245 Hp),Petrol (Gasoline),25.0,4.759,245,400,10.8,190,5010,1930,1850,2574
Nissan,4.8 i 24V (5 dr) (245 Hp) Automatic,Petrol (Gasoline),25.0,4.759,245,400,10.8,190,5010,1930,1850,2574
Nissan,2.8 TD (115 Hp) 4WD,Diesel,12.4,2.826,115,235,19.6,150,4240,1800,1790,1830
Nissan,2.0 GP (145 Hp),Petrol (Gasoline),11.6,1.99,145,175,9.6,205,4350,1660,1330,1200
Nissan,1.3 (60 Hp),Petrol (Gasoline),7.6,1.27,60,100,14.4,155,3960,1620,1385,820
Nissan,3.0 (170 Hp),Petrol (Gasoline),15.1,2.96,170,236,9.0,225,4540,1725,1310,1390
Nissan,3.0 Turbo (229 Hp),Petrol (Gasoline),14.5,2.96,229,326,7.1,250,4540,1725,1310,1430
Nissan,2.5i V6 24V (182 Hp),Petrol (Gasoline),12.1,2.496,182,228,9.6,200,4850,1800,1480,1513
Nissan,3.5i V6 24V (249 Hp),Petrol (Gasoline),13.8,3.498,249,326,7.2,210,4850,1800,1480,1581
Nissan,2.0 i 16V (136 Hp),Petrol (Gasoline),13.2,1.998,136,187,12.5,180,4845,1765,1475,1455
Nissan,2.3 i V6 24V (173 Hp),Petrol (Gasoline),13.7,2.349,173,220,10.7,196,4845,1765,1475,1514
Nissan,3.5 i V6 (245 Hp),Petrol (Gasoline),15.0,3.498,245,330,7.9,210,4845,1765,1475,1589
Nissan,3.5 i V6 24V (283 Hp),Petrol (Gasoline),16.1,3.498,283,352,5.9,250,4310,1816,1316,1545
Nissan,3.5 i V6 24V (313 Hp),Petrol (Gasoline),16.1,3.498,313,352,5.8,250,4310,1816,1316,1545
Nissan,1.0 i 16V (65 Hp),Petrol (Gasoline),7.1,0.998,65,89,15.7,154,3715,1660,1525,940
Nissan,1.2 i 16V (65 Hp),Petrol (Gasoline),7.4,1.24,65,110,16.3,154,3715,1660,1525,980
Nissan,1.2 i 16V (80 Hp),Petrol (Gasoline),7.4,1.24,80,110,13.9,167,3715,1660,1525,970
Nissan,1.4 i 16V (88 Hp),Petrol (Gasoline),7.9,1.386,88,128,11.9,172,3715,1660,1525,975
Nissan,1.5 Di (65 Hp),Diesel,5.6,1.461,65,160,17.0,155,3715,1660,1525,980
Nissan,1.5 Di (82 Hp),Petrol (Gasoline),7.4,1.24,82,110,16.3,154,3715,1660,1525,980
Nissan,1.4 16V (88 Hp),Petrol (Gasoline),8.2,1.386,88,128,12.8,176,3808,1668,1441,1135
Nissan,1.6 16V (110 Hp),Petrol (Gasoline),8.7,1.598,110,153,10.6,191,3808,1668,1441,1150
Nissan,1.0 (60 Hp),Petrol (Gasoline),7.0,0.998,60,80,15.5,150,3746,1595,1440,835
Nissan,1.0i 16V (54 Hp),Petrol (Gasoline),7.1,0.998,54,79,16.4,150,3695,1585,1430,775
Nissan,1.3i 16V (75 Hp),Petrol (Gasoline),6.6,1.275,75,103,12.0,170,3695,1585,1430,825
Nissan,1.4 (82 Hp),Petrol (Gasoline),7.7,1.348,82,108,11.9,170,3746,1595,1440,865
Nissan,1.5 D (57 Hp),Diesel,6.4,1.527,57,95,18.0,146,3695,1585,1430,900
Nissan,1.6 i 16V (109 Hp),Petrol (Gasoline),9.3,1.596,109,146,12.6,190,4565,1760,1480,1300
Nissan,1.8 i 16V (116 Hp),Petrol (Gasoline),9.6,1.769,116,163,11.9,194,4565,1760,1480,1300
Nissan,1.9 dCi (120 Hp),Diesel,7.3,1.87,120,270,10.8,195,4567,1760,1480,1415
Nissan,2.0 i 16V (140 Hp),Petrol (Gasoline),11.7,1.998,140,192,9.6,204,4565,1760,1480,1350
Nissan,2.2 dCi (138 Hp),Diesel,8.1,2.184,138,314,9.8,203,4567,1760,1480,1425
