Brand,Model,Fuel Type,Fuel Consumption,Engine volume (L),Power (PS),Torque (N*m),0-100 km/h (s),Max speed (km/h),Length (mm),Width (mm),Height (mm),Weight (kg)
Alpina,3.3 i 24V B3S (305 Hp),Petrol (Gasoline),16.2,3.346,305,362,5.4,270,4471,1739,1414,1450
Alpina,3.3 i 24V Switchtronic Allrad (280 Hp),Petrol (Gasoline),17.1,3.3,280,335,6.9,256,4471,1739,1414,1560
Alpina,3.3 i 24V (280 Hp),Petrol (Gasoline),16.9,3.3,280,335,6.1,260,4488,1757,1352,1620
Alpina,3.3 i 24V B3S (305 Hp),Petrol (Gasoline),16.7,3.346,305,362,5.8,264,4488,1757,1352,1620
Alpina,3.3 i 24V (280 Hp),Petrol (Gasoline),16.1,3.3,280,335,5.7,267,4488,1757,1367,1450
Alpina,3.3 i 24V B3S (305 Hp),Petrol (Gasoline),16.2,3.346,305,362,5.4,271,4488,1757,1367,1620
Alpina,3.3 i 24V (280 Hp),Petrol (Gasoline),16.1,3.3,280,335,6.1,262,4478,1739,1409,1620
Alpina,3.3i 24V B3S (305 Hp),Petrol (Gasoline),16.4,3.346,305,362,5.8,266,4478,1739,1409,1525
Alpina,3.3 i 24V Switchtronic Allrad (280 Hp),Petrol (Gasoline),17.3,3.3,280,335,7.2,252,4478,1739,1409,1630
Alpina,3.0 i 24V (250 Hp),Petrol (Gasoline),13.2,2.997,250,320,6.1,255,4433,1698,1373,1330
Opel,2.0 GT (264 Hp),Petrol (Gasoline),13.0,1.998,264,353,5.7,230,4100,1813,1274,1406
Opel,2.2 DTI (116 Hp),Diesel,10.0,2.198,116,260,14.5,175,4670,1830,1780,1735
Opel,2.2i 16V (141 Hp),Petrol (Gasoline),13.0,2.198,141,202,12.7,183,4670,1830,1780,1655
Opel,3.0i 24V (201 Hp) Automatic,Petrol (Gasoline),15.6,2.962,201,260,10.9,201,4670,1830,1780,1725
Opel,1.0i MT (65 Hp),Petrol (Gasoline),5.9,0.998,65,90,14.7,160,3740,1680,1590,1050
Opel,1.2i (86 Hp) Automatic,Petrol (Gasoline),7.8,1.229,86,114,14.8,170,3740,1680,1590,1050
Opel,1.2i MT (86 Hp),Petrol (Gasoline),6.9,1.229,86,114,12.3,175,3740,1680,1590,1050
Opel,1.3 CDTI MT (70 Hp),Diesel,5.5,1.248,70,170,13.9,165,3740,1680,1590,1050
Opel,1.0 12V (58 Hp),Petrol (Gasoline),7.5,0.973,58,85,18.0,142,3500,1620,1700,940
Opel,1.2 16V (75 Hp),Petrol (Gasoline),8.0,1.199,75,110,13.0,155,3500,1620,1700,960
Opel,1.2 i 16V (80 Hp),Petrol (Gasoline),7.6,1.229,80,110,13.0,161,3500,1620,1700,985
Opel,1.3 CDTI (70 Hp),Diesel,6.6,1.248,70,170,15.0,153,3500,1620,1700,1055
Opel,1.3 CDTI (70 Hp),Diesel,6.5,1.248,70,170,17.0,150,4322,1684,1801,1325
Opel,1.4i 16V (90 Hp),Petrol (Gasoline),8.0,1.364,90,125,14.0,164,4322,1684,1801,1235
Opel,1.6i (87 Hp),Petrol (Gasoline),10.5,1.598,87,138,14.0,164,4320,1685,1800,1210
Opel,1.7 CDTI (100 Hp),Diesel,6.6,1.686,100,240,12.5,170,4322,1684,1801,1295
Opel,1.7 DI 16V (65 Hp) ECOTEC,Diesel,6.9,1.686,65,130,18.5,147,4320,1685,1800,1260
Opel,1.7 DTI 16V (75 Hp) ECOTEC,Diesel,6.9,1.686,75,165,15.5,155,4320,1685,1800,1260
Opel,1.6 Turbo (180 Hp),Petrol (Gasoline),9.7,1.598,180,230,8.9,225,4830,1858,1498,1503
Opel,1.6i (115 Hp),Petrol (Gasoline),10.6,1.598,115,155,12.9,192,4830,1856,1498,1470
Opel,1.8i (140 Hp),Petrol (Gasoline),10.8,1.796,140,175,11.9,206,4830,1856,1498,1470
Opel,2.0 CDTI (110 Hp) DPF,Diesel,7.6,1.956,110,260,12.1,190,4830,1856,1498,1613
Opel,2.0 CDTI (131 Hp) DPF,Diesel,7.6,1.956,131,300,11.1,205,4830,1856,1498,1613
Opel,2.0 CDTI (131 Hp) DPF Automatic start/stop,Diesel,9.2,1.956,131,300,11.2,204,4830,1856,1498,1655
Opel,2.0 CDTI (160 Hp) DPF,Diesel,7.6,1.956,160,350,9.5,218,4830,1856,1498,1613
Opel,2.0 CDTI (160 Hp) DPF 4x4 Automatic,Diesel,8.7,1.956,160,350,10.5,213,4830,1856,1498,1613
Opel,2.0 Turbo (220 Hp),Petrol (Gasoline),12.6,1.998,220,350,7.6,242,4830,1858,1498,1645
Opel,2.0 Turbo (220 Hp) 4x4,Petrol (Gasoline),13.0,1.998,220,350,7.7,240,4830,1858,1498,1733
Opel,2.0 Turbo (220 Hp) 4x4 Automatic,Petrol (Gasoline),14.3,1.998,220,350,7.9,237,4830,1858,1498,1785
Opel,2.0 Turbo (220 Hp) Automatic,Petrol (Gasoline),14.0,1.998,220,350,7.8,240,4830,1858,1498,1670
Opel,2.8 V6 Turbo (260 Hp) 4x4,Petrol (Gasoline),16.9,2.792,260,350,6.9,250,4830,1858,1498,1825
Opel,2.8 V6 Turbo (260 Hp) 4x4 Automatic,Petrol (Gasoline),17.9,2.792,260,350,7.1,250,4830,1858,1498,1843
Opel,OPC 2.8 V6 Turbo (325 Hp) 4x4,Petrol (Gasoline),15.8,2.792,325,435,6.9,250,4830,1858,1498,1810
Opel,1.6i (115 Hp),Petrol (Gasoline),10.6,1.598,115,155,13.5,192,4830,1858,1498,1503
Opel,1.8i (140 Hp),Petrol (Gasoline),10.9,1.796,140,175,11.9,206,4830,1856,1498,1503
Opel,2.0 CDTI (130 Hp) DPF,Diesel,7.6,1.956,130,300,11.1,205,4830,1856,1498,1613
Opel,2.0 CDTI (130 Hp) DPF Automatic,Diesel,7.0,1.956,130,300,11.2,204,4830,1856,1498,1655
Opel,2.0 CDTI (160 Hp) DPF Automatic,Diesel,7.7,1.956,160,350,9.5,218,4830,1856,1498,1655
Opel,2.0 Turbo (220 Hp),Petrol (Gasoline),12.6,1.998,220,350,7.6,242,4830,1858,1498,1613
Opel,2.0 Turbo (220 Hp) 4x4,Petrol (Gasoline),14.0,1.998,220,350,7.7,240,4830,1858,1498,1655
Opel,2.0 Turbo (220 Hp) 4x4 Automatic,Petrol (Gasoline),14.3,1.998,220,350,7.9,237,4830,1858,1498,1785
Opel,2.0 Turbo (220 Hp) Automatic,Petrol (Gasoline),14.0,1.998,220,350,7.8,240,4830,1858,1498,1655
Opel,2.8 V6 Turbo (260 Hp) 4x4,Petrol (Gasoline),16.9,2.792,260,350,6.9,250,4830,1858,1498,1810
Opel,2.8 V6 Turbo (260 Hp) 4x4 Automatic,Petrol (Gasoline),17.9,2.792,260,350,7.1,250,4830,1858,1498,1843
Opel,OPC 2.8 V6 Turbo (325 Hp) 4x4,Petrol (Gasoline),16.6,2.792,325,435,6.0,250,4830,1858,1498,1810
Opel,1.6 Turbo (180 Hp),Petrol (Gasoline),9.8,1.598,180,230,9.2,220,4908,1858,1520,1560
Opel,1.6i (115 Hp),Petrol (Gasoline),10.8,1.598,115,155,13.8,187,4908,1858,1520,1510
Opel,1.8i (140 Hp),Petrol (Gasoline),11.0,1.796,140,175,12.2,203,4908,1858,1498,1513
Opel,2.0 CDTI (110 Hp) DPF,Diesel,7.9,1.956,110,353,12.86,185,4908,1856,1520,1610
Opel,2.0 CDTI (130 Hp) DPF,Diesel,7.9,1.956,130,300,11.6,200,4830,1856,1498,1610
Opel,2.0 CDTI (130 Hp) DPF Automatic,Diesel,7.5,1.956,130,407,11.7,198,4908,1856,1520,1633
Opel,2.0 Turbo (220 Hp),Petrol (Gasoline),12.9,1.998,220,350,7.9,236,4908,1858,1520,1725
Opel,2.0 Turbo (220 Hp) 4x4,Petrol (Gasoline),13.1,1.998,220,350,8.0,234,4908,1858,1520,1843
Opel,2.0 Turbo (220 Hp) 4x4 Automatic,Petrol (Gasoline),13.7,1.998,220,350,8.2,232,4908,1858,1520,1743
Opel,2.0 Turbo (220 Hp) Automatic,Petrol (Gasoline),13.2,1.998,220,350,8.1,234,4908,1858,1520,1725
Opel,2.8 V6 Turbo (260 Hp) 4x4,Petrol (Gasoline),16.7,2.792,260,475,7.2,250,4908,1858,1520,1840
Opel,2.8 V6 Turbo (260 Hp) 4x4 Automatic,Petrol (Gasoline),17.0,2.792,260,475,7.3,250,4908,1858,1520,1853
Opel,2.0i 16V Turbo (200 Hp),Petrol (Gasoline),11.9,1.998,200,262,4.9,243,3786,1710,1117,930
Opel,2.2 16V (147 Hp) Ecotec,Petrol (Gasoline),12.3,2.198,147,203,5.9,217,3786,1710,1117,870
Opel,2.0 CDTI (127 Hp) ECOTEC,Diesel,8.9,1.991,127,295,11.9,180,4575,1850,1704,1805
Opel,3.2 i V6 24V (227 Hp) ECOTEC,Petrol (Gasoline),16.4,3.195,227,297,8.8,203,4575,1850,1704,1865
Opel,2.5 (115 Hp),Petrol (Gasoline),17.3,2.49,115,174,13.0,180,4607,1728,1370,1175
Opel,1.4i (60 Hp),Petrol (Gasoline),8.6,1.389,60,103,15.0,160,4218,1658,1400,875
Opel,1.6i CAT (75 Hp),Petrol (Gasoline),8.5,1.598,75,121,13.0,170,4218,1658,1400,920
Opel,2.0 GSI (115 Hp),Petrol (Gasoline),10.1,1.998,115,170,9.0,194,3998,1663,1400,990
Opel,2.0 GSI 16V (150 Hp),Petrol (Gasoline),9.9,1.998,150,196,7.7,220,3998,1666,1395,1030
Opel,2.0 DTI 16V (101 Hp),Diesel,9.3,1.995,101,205,16.0,180,4820,1785,1500,1660
Opel,2.0i (116 Hp),Petrol (Gasoline),13.4,1.998,116,172,14.0,187,4820,1785,1500,1515
Opel,2.0i 16V (136 Hp),Petrol (Gasoline),13.3,1.998,136,188,11.5,202,4820,1785,1500,1515
Opel,2.2 DTI 16V (120 Hp),Diesel,9.8,2.171,120,280,13.0,195,4898,1776,1545,1730
Opel,2.2i (144 Hp),Petrol (Gasoline),14.3,2.198,144,205,11.0,202,4898,1776,1455,1595
Opel,2.5i V6 (170 Hp),Petrol (Gasoline),15.3,2.498,170,230,10.0,220,4820,1785,1500,1645
Opel,2.5 TD (131 Hp),Diesel,11.0,2.497,131,250,13.0,195,4820,1785,1500,1665
Opel,2.6 V6 (180 Hp),Petrol (Gasoline),15.0,2.597,180,240,10.0,221,4898,1776,1540,1733
Opel,3.0i V6 (211 Hp),Petrol (Gasoline),15.6,2.962,211,270,8.0,235,4820,1785,1500,1645
Opel,3.2 V6 (218 Hp) Automatic,Petrol (Gasoline),16.9,3.175,218,290,9.5,232,4898,1776,1540,1733
Opel,5.7 V8 (310 Hp),Petrol (Gasoline),18.0,5.665,310,450,7.0,250,4898,1776,1540,1690
Opel,2.0 DTI 16V (101 Hp),Diesel,9.2,1.995,101,205,15.0,186,4785,1785,1450,1540
Opel,2.0i (116 Hp),Petrol (Gasoline),13.5,1.998,116,172,13.0,195,4785,1785,1450,1460
Opel,2.0i 16V (136 Hp),Petrol (Gasoline),12.7,1.998,136,185,11.2,210,4785,1785,1450,1551
Opel,2.2 DTI (120 Hp),Diesel,9.6,2.171,120,280,12.5,240,4898,1776,1455,1670
Opel,2.2i (144 Hp),Petrol (Gasoline),13.2,2.198,144,205,10.5,210,4898,1776,1455,1535
Opel,2.5i V6 (170 Hp),Petrol (Gasoline),15.3,2.498,170,226,9.5,228,4785,1785,1450,1530
Opel,2.5 TD (131 Hp),Diesel,10.9,2.497,131,250,12.0,200,4785,1785,1450,1605
Opel,2.6 V6 (180 Hp),Petrol (Gasoline),14.9,2.597,180,240,9.5,229,4898,1776,1455,1610
Opel,3.0i V6 (211 Hp),Petrol (Gasoline),15.5,2.962,211,270,8.5,243,4785,1785,1450,1605
Opel,3.2i V6 (218 Hp) Automatic,Petrol (Gasoline),16.8,3.175,218,290,9.0,240,4898,1776,1455,1710
Opel,5.7i V8 (310 Hp) Automatic,Petrol (Gasoline),18.0,5.665,310,450,7.0,250,4898,1775,1450,1650
Opel,1.8i (115 Hp),Petrol (Gasoline),10.5,1.796,115,160,13.0,187,4740,1760,1445,1235
Opel,1.8 S (88 Hp),Petrol (Gasoline),9.8,1.796,88,143,14.0,183,4740,1760,1445,1215
Opel,1.8 (90 Hp),Petrol (Gasoline),9.8,1.796,90,148,14.0,183,4740,1760,1445,1230
Opel,1.8i N CAT (82 Hp),Petrol (Gasoline),9.8,1.796,82,135,14.0,183,4740,1760,1445,1215
Opel,2.0i CAT (115 Hp),Petrol (Gasoline),11.9,1.998,115,175,11.5,195,4740,1760,1445,1295
Opel,2.3 D CAT (73 Hp),Diesel,7.9,2.26,73,138,20.5,163,4740,1760,1445,1355
Opel,2.3 TD Interc. (100 Hp),Diesel,8.7,2.26,100,215,14.0,184,4740,1760,1445,1375
Opel,2.4i CAT (125 Hp),Petrol (Gasoline),12.8,2.41,125,195,10.8,200,4740,1760,1445,1330
Opel,2.6i CAT (150 Hp),Petrol (Gasoline),14.1,2.594,150,220,9.8,215,4740,1760,1445,1415
Opel,3.0 3000 (177 Hp),Petrol (Gasoline),15.6,2.969,177,240,8.8,227,4740,1760,1445,1435
Opel,3.0 24V 3000 CAT (204 Hp),Petrol (Gasoline),14.3,2.969,204,270,7.6,240,4740,1760,1445,1450
Opel,3.6 24V Lotus CAT (377 Hp),Petrol (Gasoline),16.1,3.615,377,568,5.4,282,4770,1810,1435,1690
Opel,1.8 N CAT (82 Hp),Petrol (Gasoline),10.1,1.796,82,135,14.0,183,4770,1760,1480,1230
Opel,2.0i CAT (115 Hp),Petrol (Gasoline),11.5,1.998,115,170,13.0,187,4770,1760,1480,1265
Opel,2.0i CAT (99 Hp),Petrol (Gasoline),11.5,1.998,99,170,12.5,187,4770,1760,1480,1265
Opel,2.3 D CAT (73 Hp),Diesel,7.9,2.26,73,138,20.5,155,4770,1760,1448,1370
Opel,2.3 TD Interc. (100 Hp),Diesel,8.7,2.26,100,215,15.0,176,4770,1760,1480,1355
Opel,2.4i CAT (125 Hp),Petrol (Gasoline),12.8,2.41,125,195,12.0,192,4770,1760,1480,1320
Opel,2.6i CAT (150 Hp),Petrol (Gasoline),14.1,2.594,150,220,10.5,208,4770,1760,1480,1460
Opel,3.0 3000 24V (200 Hp),Petrol (Gasoline),14.3,2.969,200,265,8.2,230,4770,1760,1445,1490
Opel,3.0 3000 CAT (177 Hp),Petrol (Gasoline),15.2,2.969,177,240,9.5,227,4770,1760,1480,1460
Opel,1.3 CDTI (70 Hp),Diesel,5.8,1.248,70,170,15.5,167,3921,1685,1364,1210
Opel,1.4i 16V ECOTEC (90 Hp),Petrol (Gasoline),8.1,1.364,90,125,12.4,180,3921,1685,1364,1235
Opel,1.8i 16V ECOTEC (125 Hp),Petrol (Gasoline),10.9,1.796,125,170,9.4,204,3921,1685,1364,1265
Opel,1.4 16V (90 Hp),Petrol (Gasoline),10.5,1.389,90,125,11.0,190,3922,1604,1340,980
Opel,1.6 16V (106 Hp),Petrol (Gasoline),9.8,1.598,106,148,10.0,203,3922,1600,1340,1086
Opel,1.6 S (90 Hp),Petrol (Gasoline),9.6,1.598,90,126,12.5,170,4366,1668,1385,1015
Opel,2.0i GT (129 Hp),Petrol (Gasoline),11.0,1.998,129,180,9.3,193,4366,1668,1395,1030
Opel,1.3 N (60 Hp),Petrol (Gasoline),11.8,1.297,60,94,17.5,150,4264,1668,1385,965
Opel,1.0i 12V ECOTEC (60 Hp),Petrol (Gasoline),7.3,0.998,60,88,18.2,150,3999,1737,1488,1145
Opel,1.2i 16V ECOTEC (80 Hp),Petrol (Gasoline),7.7,1.229,80,110,13.9,168,3999,1737,1488,1145
Opel,1.2i 16V ECOTEC (80 Hp) Automatic,Petrol (Gasoline),7.6,1.229,80,110,15.4,168,3999,1737,1488,1145
Opel,1.3 CDTI (75 Hp),Diesel,5.8,1.248,75,170,14.5,163,3999,1737,1488,1160
Opel,1.3 CDTI (90 Hp),Diesel,5.9,1.248,90,200,12.7,172,3999,1737,1488,1170
Opel,1.4i 16V ECOTEC (90 Hp),Petrol (Gasoline),7.8,1.364,90,125,12.4,173,3999,1737,1488,1163
Opel,1.4i 16V ECOTEC (90 Hp) Automatic,Petrol (Gasoline),8.7,1.364,90,125,14.8,166,3999,1737,1488,1163
Opel,1.6i 16V GSI (150 Hp),Petrol (Gasoline),10.5,1.598,150,210,8.1,210,4040,1713,1488,1203
Opel,1.6i 16V OPC (192 Hp),Petrol (Gasoline),10.5,1.598,192,230,7.2,225,4040,1713,1488,1203
Opel,1.7 CDTI (125 Hp),Diesel,6.2,1.686,125,280,10.7,190,3999,1737,1488,1170
Opel,1.0i 12V ECOTEC (60 Hp),Petrol (Gasoline),7.3,0.998,60,88,18.2,150,3999,1737,1488,1145
Opel,1.2i 16V ECOTEC (80 Hp),Petrol (Gasoline),7.7,1.229,80,110,13.9,168,3999,1737,1488,1145
Opel,1.2i 16V ECOTEC (80 Hp) Automatic,Petrol (Gasoline),7.6,1.229,80,110,15.4,168,3999,1737,1488,1145
Opel,1.3 CDTI (75 Hp),Diesel,5.8,1.248,75,170,14.5,163,3999,1737,1488,1160
Opel,1.3 CDTI (90 Hp),Diesel,5.9,1.248,90,200,12.7,172,3999,1737,1488,1170
Opel,1.4i 16V ECOTEC (90 Hp),Petrol (Gasoline),7.8,1.389,90,125,12.4,173,3999,1737,1488,1163
Opel,1.4i 16V ECOTEC (90 Hp) Automatic,Petrol (Gasoline),8.7,1.389,90,125,14.8,166,3999,1737,1488,1163
Opel,1.6i 16V OPC (150 Hp),Petrol (Gasoline),10.5,1.598,150,210,8.1,210,3999,1713,1488,1203
Opel,1.7 CDTI (125 Hp),Diesel,6.2,1.686,125,280,10.1,195,3999,1737,1488,1170
Opel,1.0 12V (58 Hp),Petrol (Gasoline),7.2,0.973,58,85,16.0,155,3817,1646,1440,880
Opel,1.2 16V (75 Hp),Petrol (Gasoline),8.2,1.199,75,110,13.0,170,3817,1646,1440,920.0
Opel,1.3 CDTI (70 Hp),Diesel,5.7,1.248,70,170,14.5,165,3839,1646,1440,1035
Opel,1.4 16V (90 Hp),Petrol (Gasoline),9.8,1.389,90,125,11.5,180,3817,1646,1440,963.0
Opel,1.0 12V (60 Hp),Petrol (Gasoline),6.9,0.998,60,88,16.0,156,3839,1646,1440,905
Opel,1.7 CDTI (100 Hp),Diesel,6.4,1.686,100,240,11.5,188,3839,1646,1440,1080
Opel,1.7 DI 16V (65 Hp),Diesel,5.8,1.686,65,130,14.5,162,3817,1646,1440,1020
Opel,1.7 DTI 16V (75 Hp),Diesel,5.8,1.686,75,165,13.5,170,3817,1646,1440,1040
Opel,1.8 16V (125 Hp),Petrol (Gasoline),11.2,1.796,125,170,9.0,202,3817,1646,1440,1015
Opel,1.4 (90 Hp),Petrol (Gasoline),10.9,1.389,90,125,12.5,175,4026,1610,1465,1000
Opel,1.7 D (60 Hp),Diesel,8.1,1.686,60,112,18.0,150,4026,1610,1470,1010
Opel,1.0i 12V (54 Hp),Petrol (Gasoline),7.5,0.973,54,82,18.0,150,3740,1610,1420,872
Opel,1.2i (45 Hp),Petrol (Gasoline),7.2,1.196,45,88,20.0,145,3740,1610,1420,845
Opel,1.2i 16V (65 Hp),Petrol (Gasoline),8.5,1.199,65,110,14.0,163,3740,1610,1420,870
Opel,1.4i (60 Hp),Petrol (Gasoline),10.2,1.388,60,103,15.0,155,3740,1610,1420,875
Opel,1.4i 16V (90 Hp),Petrol (Gasoline),10.7,1.389,90,114,11.0,180,3740,1610,1420,950
Opel,1.4 Si (82 Hp),Petrol (Gasoline),8.7,1.389,82,114,12.5,173,3740,1610,1420,895
Opel,1.5 D (50 Hp),Diesel,6.0,1.488,50,90,19.5,150,3740,1610,1420,890
Opel,1.5 TD (67 Hp),Diesel,7.0,1.488,67,132,14.0,165,3740,1610,1420,950
Opel,1.6i 16V (106 Hp),Petrol (Gasoline),10.8,1.598,106,148,9.5,195,3740,1610,1420,960
Opel,1.6i 16V GSI (109 Hp),Petrol (Gasoline),9.1,1.598,109,150,9.5,195,3740,1610,1420,975
Opel,1.7 D (60 Hp),Diesel,6.9,1.686,60,112,16.5,155,3740,1610,1420,945
Opel,1.0 (45 Hp),Petrol (Gasoline),7.5,0.993,45,68,19.5,140,3622,1532,1365,760
Opel,1.2i (45 Hp),Petrol (Gasoline),7.2,1.196,45,80,18.0,143,3622,1532,1365,740
Opel,1.4i (60 Hp),Petrol (Gasoline),8.6,1.389,60,103,14.5,155,3622,1532,1365,770
Opel,1.4i (82 Hp),Petrol (Gasoline),8.7,1.389,82,114,11.0,175,3652,1542,1365,803
Opel,1.5 D (50 Hp),Diesel,6.0,1.488,50,90,17.5,151,3622,1532,1365,840
Opel,1.5 TD (67 Hp),Diesel,6.0,1.488,67,132,13.0,166,3622,1532,1365,855
Opel,1.6 GSi (101 Hp),Petrol (Gasoline),9.1,1.598,101,135,9.5,188,3652,1535,1365,845
Opel,2.0 S (101 Hp),Petrol (Gasoline),10.0,1.979,101,155,12.5,173,4593,1726,1420,1100
Opel,2.0 (101 Hp),Petrol (Gasoline),10.0,1.979,101,180,10.7,186,4420,1680,1680,1195
Opel,1.6i 16V (105 Hp),Petrol (Gasoline),9.2,1.598,105,150,12.6,194,4611,1798,1460,1325
Opel,1.6i 16V Ecotec (100 Hp),Petrol (Gasoline),9.9,1.598,100,150,12.5,192,4596,1798,1460,1360
Opel,1.8 ECOTEC (122 Hp) Automatic,Petrol (Gasoline),11.6,1.796,122,167,12.2,190,4596,1798,1460,1395
Opel,1.8i 16V (140 Hp),Petrol (Gasoline),10.8,1.796,140,175,11.2,203,4611,1798,1460,1395
Opel,1.9 CDTI (120 Hp),Diesel,7.5,1.91,120,280,11.5,200,4596,1798,1460,1523
Opel,1.9 CDTI (150 Hp),Diesel,7.5,1.91,150,320,9.8,217,4596,1798,1460,1523
Opel,2.0 DTI (100 Hp),Diesel,6.5,1.994,100,230,13.0,192,4596,1798,1460,1503
Opel,2.0i 16V Turbo (175 Hp),Petrol (Gasoline),12.8,1.998,175,265,9.1,230,4596,1798,1460,1395
Opel,2.2 DTI (125 Hp),Diesel,8.7,2.171,125,280,10.8,206,4596,1798,1460,1503
Opel,2.2 ECOTEC (147 Hp),Petrol (Gasoline),11.9,2.198,147,203,10.2,216,4596,1798,1460,1455
Opel,2.2i 16V DIRECT (155 Hp),Petrol (Gasoline),10.3,2.198,155,220,9.6,218,4596,1798,1460,1455
Opel,2.8i V6 24V Turbo (230 Hp),Petrol (Gasoline),15.4,2.792,230,330,7.3,250,4611,1798,1460,1495
Opel,2.8i V6 24V Turbo (250 Hp),Petrol (Gasoline),15.4,2.792,250,350,6.9,255,4611,1798,1460,1495
Opel,3.0 CDTI (177 Hp),Diesel,9.8,2.958,177,370,9.3,226,4596,1798,1460,1613
Opel,3.0 CDTI (184 Hp),Diesel,9.8,2.958,184,400,8.9,230,4611,1798,1460,1565
Opel,3.2i V6 24V (211 Hp),Petrol (Gasoline),14.0,3.175,211,300,7.5,248,4596,1798,1460,1523
Opel,1.8i 16V (122 Hp),Petrol (Gasoline),11.0,1.796,122,167,12.1,199,4822,1798,1500,1490
Opel,1.8i 16V (140 Hp),Petrol (Gasoline),10.4,1.796,140,175,11.2,209,4839,1798,1500,1425
Opel,1.9 CDTI (120 Hp),Diesel,7.7,1.91,120,280,12.2,195,4822,1798,1500,1625
Opel,1.9 CDTI (150 Hp),Diesel,7.8,1.91,150,320,10.5,212,4822,1798,1500,1625
Opel,2.0 DTI (100 Hp),Diesel,7.9,1.994,100,230,13.9,186,4822,1798,1500,1600
Opel,2.0i 16V Turbo (175 Hp),Petrol (Gasoline),13.1,1.998,175,265,9.4,222,4822,1798,1500,1585
Opel,2.2 DTI (125 Hp),Diesel,8.5,2.171,125,280,11.1,202,4822,1798,1500,1620
Opel,2.2i 16V DIRECT (155 Hp),Petrol (Gasoline),10.6,2.198,155,220,10.1,212,4822,1798,1500,1550
Opel,2.8i V6 24V Turbo (230 Hp),Petrol (Gasoline),15.5,2.792,230,330,7.5,245,4839,1798,1500,1545
Opel,2.8i V6 24V Turbo (250 Hp),Petrol (Gasoline),15.5,2.792,250,350,7.1,250,4839,1798,1500,1545
Opel,OPC 2.8i V6 24V Turbo (255 Hp),Petrol (Gasoline),15.6,2.792,255,355,6.9,254,4870,1798,1487,1545
Opel,3.0 V6 CDTI (184 Hp),Diesel,9.8,2.958,184,400,9.1,225,4839,1798,1500,1615
Opel,3.0i V6 24V CDTI (177 Hp),Diesel,10.1,2.958,177,370,9.8,222,4822,1798,1500,1705
Opel,3.2i V6 24V (211 Hp),Petrol (Gasoline),14.3,3.175,211,300,8.1,239,4822,1798,1500,1625
Opel,1.6i 16V (105 Hp),Petrol (Gasoline),9.1,1.598,105,150,12.6,194,4611,1798,1460,1325
Opel,1.8 ECOTEC (122 Hp),Petrol (Gasoline),11.1,1.796,122,167,11.2,205,4596,1798,1460,1315
Opel,1.8i 16V (140 Hp),Petrol (Gasoline),9.9,1.796,140,175,10.7,210,4611,1798,1460,1375
Opel,1.9 CDTI (120 Hp),Diesel,7.4,1.91,120,280,11.5,200,4596,1798,1460,1523
Opel,1.9 CDTI (150 Hp),Diesel,7.6,1.91,150,320,9.8,217,4596,1798,1460,1555
Opel,2.0i 16V Turbo (175 Hp),Petrol (Gasoline),12.8,1.998,175,265,9.1,230,4596,1798,1460,1455
Opel,2.2 DTI ECOTEC (125 Hp),Diesel,8.2,2.171,125,280,10.8,206,4596,1798,1460,1430
Opel,2.2 ECOTEC (147 Hp),Petrol (Gasoline),11.9,2.198,147,203,10.2,216,4596,1798,1460,1375
Opel,2.2i 16V DIRECT (155 Hp),Petrol (Gasoline),10.3,2.198,155,220,9.6,218,4596,1798,1460,1470
Opel,2.8i V6 24V Turbo (230 Hp),Petrol (Gasoline),15.4,2.792,230,330,7.3,250,4611,1798,1460,1495
Opel,2.8i V6 24V Turbo (250 Hp),Petrol (Gasoline),15.4,2.792,250,350,6.9,255,4611,1798,1460,1495
Opel,OPC 2.8i V6 24V Turbo (255 Hp),Petrol (Gasoline),15.6,2.792,255,355,6.9,254,4642,1798,1449,1510
Opel,3.0 CDTI (177 Hp),Diesel,9.9,2.958,177,370,9.3,226,4596,1798,1460,1650
Opel,3.0 CDTI (184 Hp),Diesel,9.8,2.958,184,400,8.9,230,4611,1798,1460,1565
Opel,3.2i V6 ECOTEC (211 Hp),Petrol (Gasoline),14.0,3.175,211,300,7.5,248,4596,1798,1460,1455
Opel,1.6i (75 Hp),Petrol (Gasoline),10.4,1.598,75,128,15.5,175,4495,1707,1425,1170
Opel,1.6i 16V (100 Hp),Petrol (Gasoline),9.9,1.598,100,150,12.5,188,4495,1707,1425,1275
Opel,1.7 TD (82 Hp),Diesel,7.7,1.686,82,168,15.5,175,4495,1707,1425,1260
Opel,1.8 16V (125 Hp),Petrol (Gasoline),11.0,1.796,125,170,10.5,208,4495,1707,1425,1345
Opel,1.8i 16V (116 Hp),Petrol (Gasoline),10.6,1.796,116,170,11.0,203,4495,1707,1425,1265
Opel,2.0 DI 16V (82 Hp),Diesel,7.9,1.995,82,185,15.5,178,4495,1707,1425,1335
Opel,2.0 DTI 16V (101 Hp),Diesel,8.0,1.995,101,205,13.0,195,4495,1707,1425,1312
Opel,2.0i 16V (136 Hp),Petrol (Gasoline),12.3,1.998,136,188,10.0,215,4495,1707,1425,1345
Opel,2.2 16V (147 Hp),Petrol (Gasoline),12.0,2.198,147,203,9.5,218,4495,1707,1425,1420
Opel,2.2 DTI 16V (125 Hp),Diesel,9.0,2.171,125,280,10.0,208,4495,1707,1425,1450
Opel,2.5i V6 (170 Hp),Petrol (Gasoline),14.1,2.498,170,230,8.0,230,4495,1707,1425,1355
